filename,department,plo,methods,results_conclusions,improvement_plan,label,plo_score,methods_score,results_score,plan_score
ECON_MTEC BA ROAR AY2023-24 PLO4.docx,Economics MTEC & BA,"Learn various mathematical skills, including the elements of multiple variable calculus, linear algebra and optimization techniques, and other mathematical methods utilized in technical economic analyses.","We utilize a rubric based on the final examination in ECON 308, Mathematical Economics, that evaluates knowledge of the mathematical skills needed for advanced technical economic analysis, with each item in the rubric evaluated on a scale from 0-4, with 4 (0) being the highest (lowest) score indicating mastery of (failure to understand) the subject material. Our goal is that at least 75% of the students make a score of at least 3.0, as measured by the rubric, indicating good or excellent knowledge of the material listed in the PLO.","We use the final examination for Spring 2024. From a group of 18 students, 78% show a mastery of the overall subject (i.e. the rubric score is above 3). This is an excellent outcome.","We are satisfied that the evaluation met our stated standards, and we do not recommend any changes at this time.",1,0,1,1,1
Naval Science minor ROAR AY2023-24 PLO4_May24.docx,Naval Science Department/ Minor in Naval Science,"Gain an understanding of Western moral traditions and ethical philosophy as they relate to military leadership and the conduct of warfare, including Aristotle, Bentham, Mill, Kant, and Aquinas.","We will evaluate this program learning outcome in NAVA 402 Leadership and Ethics, which is the Naval Science capstone course for all Naval ROTC students, which is required for commissioning, as well as non-NROTC affiliated students attempting to minor in Naval Science. Students are required to develop an information paper on an assigned topic and then present the information to a group orally, utilizing briefing materials to include visual aids.  Student performance will be graded on a rubric for both the information paper and their presentation of the information. The Standard is that 85% of the students sampled score better than 80% on their Ethics Presentation and Information Paper assignment at the end of the course. For class sizes under ten students, we will review all submissions.  For classes greater than 10 students, we will randomly select work from 60% of the class.","The Spring 2024 class had 6 students; therefore, all work was assessed.  100% of the students scored better than 83% and therefore met the standard. However, no one scored better than 85%. In reviewing student performance, it became apparent that one of the elements of the rubric was not well understood by all students.  With a better understanding of all the elements of the rubric, it is foreseeable for an increase in student grades.","There was a recurring element in the rubric for students to develop and describe 2 or more” Courses of Action” (COAs).  After debriefing the presentations with the students, I realized that there was a weak understanding of what a “Course of Action” is and what needs to be considered when developing one. It is recommended it include a description of a proper COA and provide an example when introducing the assignment to the class and then again when discussing the rubric. This will be implemented in the Spring 2025 course. The results of the scores from SY2024-25 will be compared to SY2023-24.",1,0,1,1,1
BIOE PhD ROAR AY22-23 PLO2 (proposal review).docx,"Bioengineering Department, Doctoral Program",Integrate knowledge from different sources to solve a defined bioengineering problem.,"Rice Bioengineering student are required to complete a thesis proposal that consists of a written exam and an oral exam that are both presented to a committee of professors. This is a key developmental stage for a PhD student. The proposal committee typically also serves as the student’s final thesis committee. Oral exams can be any format, at the student’s and their mentoring PI’s discretion, but the use of a NIH F31 applications format is encouraged.  Students are expected to complete their thesis proposal prior to the beginning of their third year. Some students complete their exams later than this suggested deadline. However, the department has emphasized the proposal exam’s importance more recently, which has prompted more students to submit their proposals by the deadline. Students are expected to submit the written component of their thesis to the department to facilitate program assessment once exams have been completed successfully. In cases where exams were unsuccessful, students are typically provided opportunities to improve their proposals and repeat the exams. Students can be dismissed if they are unable to pass their exam successfully, but this outcome is very rare. The department only collects written thesis documents from students who have successfully passed their exams. Materials and student groups assessed: 7 written proposals randomly selected and evaluated. All proposals evaluated were submitted during the fall 2022 semester. proposal exams. Approximately 20 exams were completed during that semester. The ability to integrate knowledge to solve a problem (PLO2) was evaluated by evaluating student’s statements of specific aims, hypotheses and research / experimental objectives. Definition of a clear basis for these statements was ranked on a scale of 1-5 with 5 being the highest performance. A score of 3 is considered good performance in a category, with opportunity for, but not necessarily a pressing need for improvement. Below 3, would be deemed inadequate. Average scores and distributions were analyzed.","Results:  Student are demonstrating satisfactory to excellent progress with respect to integrating knowledge and crafting aims, hypothesis and objective. Scores for the seven evaluated proposals were all quite high, with all but 1 receiving a 5.  Students are thus developing high quality proposals in this sampling; the professional quality of all exams was quite high. Overall, this data strongly suggests the training leading up to and the proposal exam are helping students achieve PLO2.","These assessments are useful and worth monitoring to ensure students maintain a high level of performance. No specific changes are suggested at this time. The department should simply reinforce its current training requirements, policies and procedures.  The Bioengineering PHD class size is notably growing, and the number of students completing exams is expected to increase, this assessment should be repeated annually or bi-annually to help the department maintain consistent student development.",1,1,1,1,1
Naval Science minor ROAR AY2023-24 PLO5_May24.docx,Naval Science Department/ Minor in Naval Science,"Develop critical analysis, writing, and verbal skills. Demonstrate practical application of these skills through experiential learning, case study analysis, and Socratic discussion.","We will evaluate this program learning outcome in NAVA 402 Leadership and Ethics, which is the Naval Science capstone course for all Naval ROTC students, which is required for commissioning, as well as non-NROTC affiliated students attempting to minor in Naval Science. Measurement will be conducted using the Final Exam, which will be given at the conclusion of the course.  The Final Exam consists of a combination of multiple-choice and short essay questions. The Standard is that 85% of the students sampled score better than 80% on their Final Exam. We will utilize scores for ALL students enrolled in the class for the basis of this assessment.","The Spring 2024 class had 6 students; all Final Exam scores were assessed.  100% of the students scored better than 86% and therefore met the standard. Additionally, 5 out of 6 students scored over 90% In reviewing student performance, it appears that a combination of persistent reminders of key course concepts throughout the semester and a thorough review prior to the exam helped to reinforce course objectives.","There are no recommended adjustments, and we will maintain the current instructional design.",1,0,1,1,1
CHBE PhD ROAR AY2023-24 PLO3.docx,"CHBE, PhD",Demonstrate professional written and oral communication skills.,"At the end of their second year, our PhD students write their Thesis Proposal and prepare to defend it before a committee that usually becomes their eventual thesis committee for the defense.  In length, the thesis proposal is typically 50-60% of a full PhD thesis, but with understandably fewer and mostly preliminary results. In addition to research aspects of their Thesis Proposal, students are judged on their writing and oral presentation skills. Specifically, they are graded on a scale of 1-5 in various categories, including (1) Writing Quality and Organization, as well as (2) Oral Communication in both Presentation and Response to Questions. We collect both the thesis proposals, as well as the committee grades and comments/feedback.","For the 13 PhD students starting in 2021 and presenting their thesis proposals at the end of the 2022-23 academic year, below is a summary of the assessments based on the above criteria (1) and (2). In the summary, percentages of students judged to be unsatisfactory (<3), satisfactory (3-4.5) and excellent (>4.5) are given. All students received satisfactory or better scores in these areas.",The performance above is overall satisfactory and is also consistent with recent years. But it seems that extra attention may be warranted to improve the oral performance. This is a matter of current discussion and planning in our Graduate Studies Committee.,1,1,1,1,0
SOCI BA ROAR AY2023-24 PLO4.docx,Sociology,"Apply methodological, theoretical, and research skills to carry out empirical research projects.","Instructors of 400-level courses with final projects were asked to complete standardized rubrics to assess students’ ability to apply methods, theory and other research skills to carry out a project and to communicate results based on their final projects for the course. One 400-level course with a final project was offered in AY 23-24 (SOCI 451: Immigration). The instructor for this course selected a representative sample of final projects from the course and evaluated them on a 10-item rubric. Each item on the rubric has a point scale that ranges from 0 (no demonstration of knowledge/skill) to 3 (mastery of knowledge/skill) in 0.5 increments.",The average overall score on the 10-item rubric was 2.8 out of a possible 3 points. Students scored less than 3 points on only two items on the rubric: “Select and apply appropriate methods or strategies that address the research question(s)” and “Work as self-directed researchers and problem solvers.” This is well above the standard the department has set of 80% of students scoring 2.0 or better on the rubric total score (averaged across all items).,"Given the strong performance of students on the assessment rubric, we are pleased with current performance on PLO4 and have no major plans for improvement at this time. We will re-evaluate performance on PLO4 in AY24-25 as other relevant 400-level courses are offered to ensure we are continuing to meet our objective in our other advanced undergraduate courses.",1,1,1,1,1
ANTH PhD ROAR AY2023-24 PLO3.docx,Anthropology,"Engaged with the key methodological, theoretical, and critical analytical skills at the heart of the discipline with the capacity to become skilled producers of anthropological knowledge and to critique actively and reconfigure canonical anthropological knowledge. Utilize the key methodological, theoretical, and analytical skills at the heart of the discipline and become skilled producers of anthropological knowledge, able to critique actively and reconfigure canonical approaches to social science.","Each student will be evaluated directly by the faculty on the dissertation committee, who will base their evaluation on both (a) the quality of the written material (dissertation) and (b) the oral presentation of research materials (dissertation defense). An evaluation rubric will be provided to each dissertation committee member who will grade, on a scale of one to five, whether the student: conducted appropriate research according to the goals and objectives of the research design; achieved a research outcome and primary argument demonstrating an important intervention or contribution to current debate(s) in the discipline; demonstrated an ability to productively engage with intellectual challenges and critiques provided in the question and answer period; utilized analytic abilities and articulated conceptual and methodological material in verbal form.","Across the five dissertations and defenses evaluated by faculty committee members, 20% (1 student) achieved an average of 2.9; 20% (1 student) achieved an average of 3.9; 20% (1 student) achieved an average of 4.4; 20% (1 student) achieved an average of 4.5, and 20% (1 student) achieved an average of 4.8. This results in 80% of students achieving the expected threshold of a 3.5 average with 20% failing to achieve that goal.","Our results show that most students completing their dissertation this year excelled in achieving the program’s stated expectations. However, one student’s performance did not fulfill the program’s expectations for pedagogical achievement. It is recommended that, in the future, students who are at risk of not fulfilling the program’s expectations be counseled closely by the chair of their dissertation committee (and other committee members when appropriate) to focus attention on the areas of evaluation to be assessed (per PLO 3 above). The impact of these changes will be assessed in AY 24-25.",1,1,1,1,1
ECE MSPhD ROAR AY2023-24 PLO1.docx,Electrical and Computer Engineering MS-PhD,Identify and define relevant research topics in Electrical and Computer Engineering and conduct independent research with results that advance the state of the art in the field.,"The ECE student in the MS-PhD program must successfully complete a project course ELEC 599 in their second semester (or first semester if they matriculate in Spring).  Students who have already acquired a master’s degree elsewhere must also complete the ELEC 599 project, after which acceptance of their previous master’s degree will be determined by the Graduate Committee. ELEC 599 allows students to begin research early in the Ph.D. program and also crucially serves as the vehicle to identify the PhD thesis advisor. ELEC 599 consists of two parts: research and communications seminars. At the end of the semester, students are evaluated through written project reports and oral presentations by at least three faculty members, including their potential advisors. Students must pass ELEC 599 with a grade of A- or better to remain in the PhD program. Materials and methods of assessment: A total of 30 students who matriculated in Fall 2023 and Spring 2024 took ELEC 599 and were evaluated for their performance. The ability to identify and define relevant research topics was evaluated by students’ problem statements and research objectives. The clearness and conciseness of the problem statement were ranked on a scale of 1-5, with 5 (Excellent) being the highest performance. A score of 4 (Very Good) means the problem statement is at an appropriate level but may not be clear or concise. 3 (Good) was given when the problem is not stated clearly or with sufficient detail. Below 3 would be deemed inadequate in problem statement skills.","Results: All 30 students scored 3 (Good) or above in this evaluation category, which indicates that students are making excellent progress in identifying the problem and defining the research topics. 87% of the students scored above 4 (Very Good) and 30% of the students scored 5 (Excellent). In ELEC 599, students were given opportunities to learn how to craft problem statements, hypotheses, and experimental objectives through multiple lectures, peer reviews, and class activities. The assessment suggests that the course curriculum was effective in helping students achieve PLO1 in the early stage of their program.","ELEC 599 is required for all students in their first year, and the tool is useful as a formative assessment of PLO1. No specific changes to the course are suggested at this time. We will continue to reinforce this training through various methods in ELEC 599 and assess the learning outcome annually. We will also try to employ methods such as evaluation of MS thesis defense, PhD qualifier, PhD proposal, and PhD thesis defense. These may have to be sample data as students go through different stages of exams/evaluations in different timelines. In general, we try to monitor students’ progress and ensure that milestones are met by the expected timeline with an expected outcome. We will increase communications with students and faculty advisors so they will have a clear understanding of the requirements and will not fall behind. The graduate committee will evaluate the effectiveness of this assessment plan on a regular basis and revise it as needed.",1,1,1,1,1
ECE MSPhD ROAR AY2023-24 PLO3.docx,Electrical and Computer Engineering MS-PhD,Solve real-world problems by integrating knowledge gained in courses and through independent study.,"We used the evaluations from the Annual Progress Reports completed by both students and their advisors and the graduation rate to assess this Program Learning Outcome. Materials and methods of assessment: The ability to solve real-world problems by integrating knowledge gained in courses and through independent study (PLO3) was evaluated by the student’s overall research performance through Annual Progress Reports. The Annual Progress Report is completed annually by both students and their advisors. Students provide their course and research progress, publications toward PhD, milestones achieved, and plans for the degree. The advisors evaluated their students’ research progress on four scales: a) exceed expectations, b) meet expectations, c) borderline, and d) do not meet expectations. The expectation to satisfy PLO3 is to reach 80% of all students “meet or exceed expectations” and 30% of all students “exceed expectations.” We also looked at the graduation rate within a certain period of time. In ECE, students are expected to defend their thesis by the end of the 11th semester and graduate by the end of the 12th semester. The defense deadline of the department is the end of the 14th semester. We looked at the number of students who would graduate by August 2024 among the number of qualified students (those who obtained MS at Rice or came with an approved prior Master’s). The expectation to satisfy PLO3 is to reach 80% of qualified students to complete the degree by the end of their 14th semester and 60% of students to complete the degree by the end of their 12th semester.","Results: The Annual Progress Reports from AY23-24 were conducted during the summer and were collected for 129 PhD students. 87% of the students were evaluated as “meet or exceed expectations,” and 36% were considered “exceed expectations” by their advisors. 4 students were evaluated as “does not meet expectations,” and one of them left the program. The result indicates that most students are making good progress towards the degree and expecting to be successful in solving real-world problems by integrating knowledge gained in courses and through their research. As for the graduation rate, out of 13 students who matriculated in Fall 2017 and passed beyond the PhD qualifier (either obtained MS at Rice or came with approved prior Master’s), 12 students (92%) have graduated by this academic year. For those who matriculated in Fall 2018, 13 students have graduated out of 21 qualified students (62%). The graduation rate is also important in evaluating students’ overall progress, not only in research. The result indicates that the department is on track and meeting expectations for the PLO3.","As the program grows in size and the areas of research become diverse inviting more faculty from outside of the department to serve as advisors, one of the challenges we face is to closely monitor students’ progress and keep them on track to meet the expected timeline. We will increase communications with students and faculty advisors so they will have a clear understanding of the requirements and will not fall behind. We will also try to employ methods such as evaluation of MS thesis defense, PhD qualifier, PhD proposal, and PhD thesis defense. We will look at the overall evaluation but also use a particular rubric such as “prospects for success,” which looks at students’ ability to share new insights with others, knowledge of related publications and industry standards, and ability to demonstrate an understanding of theoretical and systems methodologies. These may have to be sample data as students go through different stages of exams/evaluations in different timelines. The graduate committee will evaluate the effectiveness of this assessment plan on a regular basis and revise it as needed.",1,1,1,1,1
SOCI BA ROAR AY2023-24 PLO3.docx,Sociology,"Apply sociological knowledge and training to understand theory and policy oriented around issues of human well-being in the US and globally, including how to understand the relationship between inequality and factors like race, class, gender, and education.","Instructors of SOCI 301 (Social Inequality), SOCI 381 (Research Methods), and other substantive 300-level courses were asked to complete standardized rubrics to assess students’ understanding and application of key social issues that reveal the relationship between social and economic characteristics and inequality in a variety of outcomes, ranging from health to educational attainment. Instructors of each of the 7 relevant courses offered in AY 23-24 evaluated a representative sample of students from their class on a 10-item rubric using a 0–3-point scale, with 0 indicating “student does not demonstrate knowledge or skill” and 3 indicating “student has mastered this knowledge or skill.”","The department has set a goal of 80% of students scoring an average of 2.0 or better on rubric total score out of a possible 3 points. Every student evaluated in the relevant courses exceeded this goal, with average student-specific scores across all rubric items ranging from 2.125 to 3. Across all relevant courses, the average overall score on the 10-item rubric was 2.67 (class minimum: 2.55; class maximum: 2.875). The cross-class average scores for each of the 10 rubric items ranged from 2.35 to 2.85.","Given the strong performance of students on the assessment rubrics, we are very pleased with current performance on PLO 3 and plan to continue our current approach in these classes. We will reevaluate student performance in AY 24-25 with the same assessment rubric to ensure that we are maintaining our high standards for producing students who are well able to apply sociological insights to real world issues.",1,1,1,1,1
SMEP BA ROAR AY2023-24 PLO3.docx,"Kinesiology Department/Sports Medicine & Exercise Physiology Program, BA","Apply theoretical and practical knowledge of psychological factors in sport, exercise, rehabilitation, and performance settings.","Three exams are administered in KINE 310 – Psychological Aspects of Sport and Exercise to assess student understanding of course content.   Topics for exam 1 include motivation, foundations of sport psychology, leadership and communication in sport, and self-confidence.  Topics for exam 2 include understanding anxiety stress and mood in sport and exercise, attention and concentration in sport, and coping and intervention strategies for sport and exercise including imagery, goal setting and self-talk. In addition to the 2 examinations, the students are assessed by conducting case studies and behavior change projects. The topics are all related to Psychological issues in Sports.","The students showed learning and retention of knowledge regarding Psychological Aspects of Sports, which includes topics related to performance anxiety, attention, concentration, motivation, etc.… The average score for the examinations and the case studies and behavioral change exercises was over 85%. Seventeen out of 20 students (85%) (17/20) scored above 85%. The department is satisfied with these results.","While currently no major changes are planned, our evaluation and assessment tools/rubrics are annually reviewed during the subsequent academic year to polish and improve to ensure that these documents fairly and adequately assess the students’ project and this Program Learning Outcome.",1,1,1,1,1
ECE MSPhD ROAR AY2023-24 PLO2.docx,Electrical and Computer Engineering MS-PhD,Lead research and design groups by communicating innovative ideas effectively.,"The ECE student in the MS-PhD program must successfully complete a project course ELEC 599 in their second semester (or first semester if they matriculate in Spring).  Students who have already acquired a master’s degree elsewhere must also complete the ELEC 599 project, after which acceptance of their previous master’s degree will be determined by the Graduate Committee. ELEC 599 allows students to begin research early in the Ph.D. program and also crucially serves as the vehicle to identify the PhD thesis advisor. ELEC 599 consists of two parts: research and communications seminars. At the end of the semester, students are evaluated through written project reports and oral presentations by at least three faculty members, including their potential advisors. Students must pass ELEC 599 with a grade of A- or better to remain in the PhD program Materials and methods of assessment: A total of 30 students who matriculated in Fall 2023 and Spring 2024 took ELEC 599 and were evaluated for their performance. The ability to lead research by communicating innovative ideas effectively was evaluated by students’ written and oral presentation skills and the presentation of data. The written presentation skills were evaluated from several viewpoints, such as appealing design, good writing style, easy reading of the report, appropriate citation, and grammatical errors. The oral presentation skills were evaluated by presenting manners such as eye contact, use of fillers, and level of confidence. The presentation of data was evaluated by the design and use of graphics, whether it is informative and easy to interpret. Those skills were evaluated separately on a scale of 1-5, with 5 (Excellent) being the highest performance, and we pulled the average scores. Scores above 3 (Good) are considered passing scores with opportunity for, but without pressing need for improvement.  Below 3 would be deemed inadequate in communication skills.","Results: Out of 30 students evaluated, no student scored below 3 (Good). 83% scored above 4 (Very Good) and 17% of the students scored 5 (Excellent).  In general, students are making good progress in communication skills. The goal is to bring 20% of students to score 5. Several lectures, peer reviews, and class activities were conducted to improve students’ writing and oral presentation skills. Midterm evaluations were also conducted to assess their oral presentation skills. The assessment suggests that the course curriculum was overall effective in helping students achieve PLO2, but there is room for some improvement.","Coaching sessions and mentorship by senior ECE students and/or trained student coaches coordinated by the School of Engineering can be implemented as additional training for reinforcing communication skills. We will continue to provide various training to build their communication skills in ELEC 599 and assess the learning outcome annually. We will also try to employ methods such as evaluation of MS thesis defense, PhD qualifier, PhD proposal, and PhD thesis defense. These may have to be sample data as students go through different stages of exams/evaluations in different timelines. In general, we try to monitor students’ progress and ensure that milestones are met by the expected timeline with an expected outcome. We will increase communications with students and faculty advisors so they will have a clear understanding of the requirements and will not fall behind. The graduate committee will evaluate the effectiveness of this assessment plan on a regular basis and revise it as needed.",1,0,1,1,1
ANTH PhD ROAR AY2023-24 PLO5.docx,Anthropology,"Conducted responsible, ethically appropriate research with their interlocutors and consultants in a world of increasingly complex interplay between small-scale and large-scale concerns and commitments. Conduct responsible, ethical research with interlocutors and consultants in a world of increasingly complex interplay between small-scale and large-scale concerns and commitments.","Each student will be evaluated directly by the faculty on the dissertation committee, who will base their evaluation on both (a) the quality of the written material (dissertation) and (b) the oral presentation of research materials (dissertation defense). An evaluation rubric will be provided to each dissertation committee member who will grade, on a scale of one to five, whether the student: conducted ethically appropriate research; utilized a research design that demonstrated an awareness of small-scale dynamics within the research site and among interlocutors; and developed a research design demonstrating an awareness of large-scale dynamics within the research site and among interlocutors, pertinent to the research objective.","Across the five dissertations and defenses evaluated by faculty committee members, 20% (1 student) achieved an average of 2.9; 20% (1 student) achieved an average of 4.1, 20% (1 student) achieved an average of 4.2, 20% (1 student) achieved an average of 4.4 and 20% (1 student) achieved an average of 5. This results in 80% of students achieving the expected threshold of a 3.5 average, and scoring well above the minimum threshold.","Based on our results, we do not anticipate making changes to the expectations of PLO 5 or training toward those goals. It is recommended that, in the future, students who are at risk of not fulfilling the program’s expectations be counseled closely by the chair of their dissertation committee (and other committee members when appropriate) to focus attention on the areas of evaluation to be assessed (per PLO 5 above).",1,1,1,1,1
CHBE PhD ROAR AY2023-24 PLO2.docx,"CHBE, PhD",Apply advanced knowledge from several major areas of modern chemical engineering.,"The two main sources for assessment are (1) projects in our graduate core courses and (2) the thesis proposal. For 2023/24, we examined student performance on the most recent round of thesis proposals, presented in June 2023.  Students write and defend their thesis proposal before their thesis committee at the end of their second year of residency.  This proposal is expected to represent an in-depth examination by the student of the state of knowledge in their chosen research topic, as well as an extensive plan for their research.  In length, this proposal is typically 50% of the eventual full PhD thesis. Students are judged on several criteria, including: (1) Research Objectives, (2) Literature Review, (3) Preliminary Results and (4) Proposed Research.  In addition to the overall Pass/Fail grading, the written proposal and oral presentation are graded on a scale of 1-5 in these categories. Grades of 3-5 are considered satisfactory to excellent. We collected both the thesis proposals and detailed committee grades with comments/feedback.","For the 15 PhD students starting in 2021 and expected to present their thesis proposals at the end of the 2022-23 academic year, 12 received a passing grade, 1 received a grade of “pass with reservations” (for which changes and/or additions were requested) and 2 students had to defer their presentations. With respect to each of the above criteria, below are the percentages of students judged to be unsatisfactory (<3), satisfactory (3-4.5) and excellent (>4.5). Students receiving an unsatisfactory grade in one of these criteria were only given a pass with reservation and required to make significant revisions before passing. This was successfully completed in the case of the single student given a pass with reservation.","We note with concern the deferral of the thesis proposal and defense by two students in this group. This has not happened in many years. These deferrals were partly due to health concerns. In response to this, we monitored the progress 2022 entering class more closely than usual and we are pleased that all of these students are so far on track to defend their proposals by early July of 2024. We are reviewing our current policies and guidance to avoid further deferrals in coming years.",1,1,1,1,0
SMEP BA ROAR AY2023-24 PLO2.docx,"Kinesiology Department/Sports Medicine & Exercise Physiology Program, BA",Translate fundamental principles of human nutrition to practical application in exercise and sport.,"In HEAL 103: Nutrition, students are required to complete a Concept Application Assignment in which they will apply multiple concepts of human nutrition to plan a diet for patients with differing health needs.  The assignments were directly assessed utilizing a rubric/rating scale by the teaching faculty, Roberta Anding.  In the Spring semester of the 2023-2024 academic year, there were 41 students enrolled in this course. The rubric/rating scale utilized directly assessed the concept retention out of a scale of 70 possible points.  Several factors went into point totals, including use of scientific references, strength of nutritional plan, justification for planning, assessment of specific patient nutritional needs as it applies to exercise and sport, and other principles of nutrition learned during the semester.","Application and learning of multiple concepts of human nutrition are directly assessed for students in HEAL 103: Nutrition.  The students showed improvement and learning of the concepts with application theory.  The average score for the projects was 60 out of 70 (85%) possible points, utilizing the rubric as described above. Fifty-one students out of 57 (89%) obtained 85% or more. The department is satisfied with these results.","While currently no major changes are planned, our evaluation and assessment tools/rubrics are annually reviewed during the subsequent academic year to polish and improve to ensure that these documents fairly and adequately assess the students’ project and this Program Learning Outcome.",1,1,1,0,1
ENTR Minor ROAR AY2023-24 PLO1.docx,Entrepreneurship Minor,Execute the steps of the entrepreneurial process.,"Undergraduate students working toward the Entrepreneurship Minor take BUSI 369, New Enterprises, as one of four required core courses. New Enterprises introduces the frameworks and tools to execute the steps of the entrepreneurial process, including evaluating opportunities for a new innovation-based enterprise, conceptualizing and developing a venture plan through an iterative process, articulating venture assumptions, and testing venture assumptions through experimentation. 
To assist the students in learning the steps of the entrepreneurial process through experience and practice, the professor assigns the following two projects: Primary Market Research Presentation – A 7-minute team presentation offering a comprehensive overview of the journey in understanding customer needs and informing strategic decisions to address identified problems in the selected market segment. Go/No-Go presentation – An 8-minute presentation providing a concise evaluation of the venture opportunity, including an elevator pitch overview of the problem, customer, and solution, discussion of encountered hurdles, presentation of remaining obstacles, decision to proceed or halt, and formulation of next steps. The professor uses a rubric for each project to evaluate the quality of a team's presentation related to the steps of the process. The scores are measured on a 0-100% scale. We expect 80% of the students to meet a minimum acceptable average score of 70% on each project.",Students’ performance on their BUSI 369 New Enterprises presentation projects was satisfactory: 97% of the students scored an average of 89.6% on the Primary Market Research Presentation 93% of the students scored an average of 90.85% on the Go/No-Go Presentation. We have exceeded the target of 80% of the students meeting a minimum of 70% average score for each project.,We were satisfied with the students’ performance on these integrative presentations and thus feel assured that they have the requisite understanding to execute the steps of the entrepreneurial process. We may consider adjusting the target for achievement in the next assessment to increase the desired performance target and test it out next year.,1,1,1,1,1
ECON PhD ROAR AY2023-24 PLO1.docx,Economics (Ph.D. program),"Carry out independent research in economics and finance, using and developing mathematical, statistical, econometric, and computational tools","Direct assessment: All our doctoral students are required to take mathematics and statistics camps in the summer prior to starting their doctoral program. The other components of the measure are final grades for all first-year core curriculum (microeconomic theory, macroeconomics and finance, econometrics) and the final course grade for Econ 504 (computational economics). Students with low grades are required to take a make-up qualifying exam.",The majority of the cohort (Matriculation Year 2024) did well. All but one students attained grades that are sufficient to exempt them from taking qualifying exams.,"We will allow 1st yr PhD students to complement our core curriculum with a graduate course in statistics, or mathematics, upon the approval of the Director of Graduate Studies. The goal is to broaden students’ general knowledge in these broadly related fields, in the hopes that they learn useful concepts and tools that will be useful for their dissertation.",0,1,1,1,0
SMGT BA ROAR AY2017-18 PLO3.docx,Sport Management,"Students will be introduced to the law and legal concepts and develop an understanding of the law as it applies to the sports industry in relationship to the legal sector, as well as the broader relationship between the sports industry, law and society.","Assessments to measure outcomes are: Test 1: to assess students understanding of the meaning of “law”, how law impacts sport; basic legal reasoning, analysis and substantive areas of law relevant to sport covered in the first half of class. Mostly scenario-based fact patterns requiring analysis to mimic real life situations as much as possible. To assess their ability to respond as sports managers. Exam based scoring Rubric is used Test 2: to assess students development of legal reasoning skills, analysis and substantive areas of law related to sport covered in the second half of class. Mostly scenario-based fact patterns requiring analysis to mimic real life situations as much as possible. To assess their ability to respond as sports managers. Exam based scoring Rubric is used Final Legal Research Presentation: to assess students ability to research a sport law related topic and present findings, legal analysis and legal argument on the topic. An oral presentation rubric is used. Final Legal Research Project/Paper: to assess students legal research abilities, legal argument and ability to respond to questions raised regarding their research and topic. A research rubric is used. Use of scenarios and fact patterns to develop analytical thinking; approached used by ABA approved law schools. Test 1 / Weekly Discussion Questions Questions are taken directly from the course materials. A grading key is used to ensure the grading is consistent and points appropriately allocated.  Scenarios are covered throughout the course and students are coached throughout the course on this approach.","Students tend to struggle a bit on Test 1 due to the 10 questions and 60 minute time constraint. They also are not used to tests that require analysis vs “the” correct answer. Seems to be a major culture shift for students. Students tended to do better on Test 2 in general, although some students still struggled some with the analytical scenarios. Analysis and critical thinking are import skills for students since this is more closely related to real-life.","Update the Rubrics based on any changes to the law or added/removed content from the class. This is reviewed each semester to ensure the content and grading remains current. Changing Test 1 from 10 questions (60 minutes timed) to 5 questions (60 minutes timed) Spend even more time on analytical thinking, scenario-based learning and addressing skills associated with this. Each semester assess impact of the changes and continue to adjust as warranted.",0,0,1,1,1
ECON PhD ROAR AY2019-20 PLO2.docx,Economics PhD,Conduct a focused review of the literature and develop a research design to carry out independent research.,"Direct assessment: Each second-year student completed a literature survey and developed their research agenda under supervision in our Econ 598 – Research Methods course. ECON 598 – Research Methods Prepares second-year Ph.D. students to conduct quantitative research. After a critical review of existing economic models, statistical analysis of data and economic evaluations, students develop their own research agenda.","Two of the students earned a grade of A+, five earned a grade of A and two earned a grade of A-.",We are satisfied with these results and do not plan to make any changes.,0,0,1,0,1
